year,title,url,filename,extension,is_annex_xlsx
2018,Portalegre,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Portalegre 2018 24h.pdf,Portalegre 2018 24h.pdf,pdf,False
2018,Porto,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Porto 2019 24h.pdf,Porto 2019 24h.pdf,pdf,False
2018,Santarém,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Santarém 2018 24h.pdf,Santarém 2018 24h.pdf,pdf,False
2018,Setúbal,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Setúbal 2018 24h.pdf,Setúbal 2018 24h.pdf,pdf,False
2018,Viana do Castelo,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Viana do Castelo 2018 24h.pdf,Viana do Castelo 2018 24h.pdf,pdf,False
2018,Vila Real,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Vila Real 2018 24h.pdf,Vila Real 2018 24h.pdf,pdf,False
2018,Viseu,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Viseu 2018 24h.pdf,Viseu 2018 24h.pdf,pdf,False
2018,Lisboa 2018 24h,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Lisboa 2018 24h.pdf,Lisboa 2018 24h.pdf,pdf,False
2018,Relatório Anual Sinistralidade Rodoviária 2018 -24 horas,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 24 HORAS/Relatório Anual Sinistralidade Rodoviária 2018 -24 horas.pdf,Relatório Anual Sinistralidade Rodoviária 2018 -24 horas.pdf,pdf,False
2018,Aveiro,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Aveiro 2018 30d.pdf,Aveiro 2018 30d.pdf,pdf,False
2018,Beja,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Beja 2018 30d.pdf,Beja 2018 30d.pdf,pdf,False
2018,Braga,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Braga 2018 30d.pdf,Braga 2018 30d.pdf,pdf,False
2018,Bragança,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Bragança 2018 30d.pdf,Bragança 2018 30d.pdf,pdf,False
2018,Castelo Branco,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Castelo Branco 2018 30d.pdf,Castelo Branco 2018 30d.pdf,pdf,False
2018,Coimbra,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Coimbra 2018 30d.pdf,Coimbra 2018 30d.pdf,pdf,False
2018,Évora,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Évora 2018 30d.pdf,Évora 2018 30d.pdf,pdf,False
2018,Faro,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Faro 2018 30d.pdf,Faro 2018 30d.pdf,pdf,False
2018,Guarda,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Guarda 2018 30d.pdf,Guarda 2018 30d.pdf,pdf,False
2018,Leiria,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Leiria 2018 30d.pdf,Leiria 2018 30d.pdf,pdf,False
2018,Lisboa,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Lisboa 2018 30d.pdf,Lisboa 2018 30d.pdf,pdf,False
2018,Portalegre,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Portalegre 2018 30d.pdf,Portalegre 2018 30d.pdf,pdf,False
2018,Porto,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Porto 2018 30d.pdf,Porto 2018 30d.pdf,pdf,False
2018,Santarém,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Santarém 2018 30d.pdf,Santarém 2018 30d.pdf,pdf,False
2018,Setúbal,http://www.ansr.pt/Estatisticas/RelatoriosDeSinistralidade/Documents/2018/RELATÓRIO ANUAL - VÍTIMAS A 30 DIAS/Setúbal 2018 30d.pdf,Setúbal 2018 30d.pdf,pdf,False
