distrito,ano,concelho,acidentes_com_vitimas,vitimas_mortais,feridos_graves,feridos_leves,total_vitimas,indice_gravidade,source_file
Setúbal,2007,Setúbal,426,6,26,513,545,1.4,Setúbal 2007.pdf
Setúbal,2007,Sines,56,1,3,66,70,1.8,Setúbal 2007.pdf
Viana do Castelo,2007,Arcos de Valdevez,58,0,11,73,84,0.0,Viana do Castelo 2007.pdf
Viana do Castelo,2007,Caminha,63,0,1,80,81,0.0,Viana do Castelo 2007.pdf
Viana do Castelo,2007,Melgaço,28,5,6,29,40,17.9,Viana do Castelo 2007.pdf
Viana do Castelo,2007,Monção,47,0,1,74,75,0.0,Viana do Castelo 2007.pdf
Viana do Castelo,2007,Paredes de Coura,19,1,1,23,25,5.3,Viana do Castelo 2007.pdf
Viana do Castelo,2007,Ponte da Barca,34,1,2,47,50,2.9,Viana do Castelo 2007.pdf
Viana do Castelo,2007,Ponte de Lima,158,7,21,214,242,4.4,Viana do Castelo 2007.pdf
Viana do Castelo,2007,Valença,67,4,3,85,92,6.0,Viana do Castelo 2007.pdf
Viana do Castelo,2007,Viana do Castelo,272,3,15,325,343,1.1,Viana do Castelo 2007.pdf
Viana do Castelo,2007,V. Nova de Cerveira,45,3,0,59,62,6.7,Viana do Castelo 2007.pdf
Vila Real,2007,Alijó,37,3,2,50,55,8.1,Vila Real 2007.pdf
Vila Real,2007,Boticas,17,0,2,29,31,0.0,Vila Real 2007.pdf
Vila Real,2007,Chaves,166,1,17,203,221,0.6,Vila Real 2007.pdf
Vila Real,2007,Mesão Frio,16,0,4,22,26,0.0,Vila Real 2007.pdf
Vila Real,2007,Mondim de Basto,20,1,1,27,29,5.0,Vila Real 2007.pdf
Vila Real,2007,Montalegre,32,2,5,43,50,6.3,Vila Real 2007.pdf
Vila Real,2007,Murça,17,0,1,24,25,0.0,Vila Real 2007.pdf
Vila Real,2007,Peso da Régua,34,0,5,39,44,0.0,Vila Real 2007.pdf
Vila Real,2007,Ribeira de Pena,23,0,4,27,31,0.0,Vila Real 2007.pdf
Vila Real,2007,Sabrosa,7,1,0,11,12,14.3,Vila Real 2007.pdf
Vila Real,2007,Sta. Marta de Penaguião,7,0,0,8,8,0.0,Vila Real 2007.pdf
Vila Real,2007,Valpaços,52,2,3,66,71,3.8,Vila Real 2007.pdf
Vila Real,2007,V. Pouca de Aguiar,39,2,3,54,59,5.1,Vila Real 2007.pdf
Vila Real,2007,Vila Real,208,1,21,266,288,0.5,Vila Real 2007.pdf
Viseu,2007,Armamar,19,0,0,26,26,0.0,Viseu 2007.pdf
Viseu,2007,Carregal do Sal,40,4,4,45,53,10.0,Viseu 2007.pdf
Viseu,2007,Castro Daire,44,1,5,59,65,2.3,Viseu 2007.pdf
Viseu,2007,Cinfães,68,0,6,81,87,0.0,Viseu 2007.pdf
Viseu,2007,Lamego,95,4,6,145,155,4.2,Viseu 2007.pdf
Viseu,2007,Mangualde,78,4,5,107,116,5.1,Viseu 2007.pdf
Viseu,2007,Moimenta da Beira,35,2,7,43,52,5.7,Viseu 2007.pdf
Viseu,2007,Mortágua,50,4,2,53,59,8.0,Viseu 2007.pdf
Viseu,2007,Nelas,74,1,4,95,100,1.4,Viseu 2007.pdf
Viseu,2007,Oliveira de Frades,40,0,3,51,54,0.0,Viseu 2007.pdf
Viseu,2007,Penalva do Castelo,33,0,2,39,41,0.0,Viseu 2007.pdf
Viseu,2007,Penedono,7,0,0,13,13,0.0,Viseu 2007.pdf
Viseu,2007,Resende,28,0,2,45,47,0.0,Viseu 2007.pdf
Viseu,2007,Santa Comba Dão,43,1,2,49,52,2.3,Viseu 2007.pdf
Viseu,2007,S. Joao Pesqueira,24,1,1,30,32,4.2,Viseu 2007.pdf
Viseu,2007,S. Pedro do Sul,64,0,7,76,83,0.0,Viseu 2007.pdf
Viseu,2007,Satão,52,1,4,74,79,1.9,Viseu 2007.pdf
Viseu,2007,Sernancelhe,22,0,2,28,30,0.0,Viseu 2007.pdf
Viseu,2007,Tabuaço,20,0,3,23,26,0.0,Viseu 2007.pdf
Viseu,2007,Tarouca,23,1,4,22,27,4.3,Viseu 2007.pdf
Viseu,2007,Tondela,127,2,14,146,162,1.6,Viseu 2007.pdf
Viseu,2007,Vila Nova de Paiva,17,0,0,22,22,0.0,Viseu 2007.pdf
Viseu,2007,Viseu,362,11,26,434,471,3.0,Viseu 2007.pdf
Viseu,2007,Vouzela,48,3,5,57,65,6.3,Viseu 2007.pdf
Évora,2007,Alandroal,11,0,1,12,13,0.0,Évora 2007.pdf
Évora,2007,Arraiolos,33,1,7,34,42,3.0,Évora 2007.pdf
Évora,2007,Borba,23,4,3,28,35,17.4,Évora 2007.pdf
Évora,2007,Estremoz,63,0,4,90,94,0.0,Évora 2007.pdf
Évora,2007,Évora,179,3,19,213,235,1.7,Évora 2007.pdf
Évora,2007,Montemor-o-Novo,78,1,15,97,113,1.3,Évora 2007.pdf
Évora,2007,Mora,20,0,3,26,29,0.0,Évora 2007.pdf
Évora,2007,Mourão,11,1,3,7,11,9.1,Évora 2007.pdf
Évora,2007,Portel,26,0,6,32,38,0.0,Évora 2007.pdf
Évora,2007,Redondo,22,1,6,24,31,4.5,Évora 2007.pdf
Évora,2007,R.de Monsaraz,21,4,4,23,31,19.0,Évora 2007.pdf
Évora,2007,Vendas Novas,52,2,1,72,75,3.8,Évora 2007.pdf
Évora,2007,Viana do Alentejo,25,2,4,26,32,8.0,Évora 2007.pdf
Évora,2007,Vila Viçosa,17,1,0,17,18,5.9,Évora 2007.pdf
Aveiro,2008,Águeda,256,8,35,282,325,3.1,Aveiro 2008.pdf
Aveiro,2008,Albergaria-a-Velha,154,3,0,197,200,1.9,Aveiro 2008.pdf
Aveiro,2008,Anadia,124,1,4,153,158,0.8,Aveiro 2008.pdf
Aveiro,2008,Arouca,63,1,7,82,90,1.6,Aveiro 2008.pdf
Aveiro,2008,Aveiro,348,7,34,396,437,2.0,Aveiro 2008.pdf
Aveiro,2008,Castelo de Paiva,53,2,0,66,68,3.8,Aveiro 2008.pdf
Aveiro,2008,Espinho,95,2,3,117,122,2.1,Aveiro 2008.pdf
Aveiro,2008,Estarreja,143,3,12,173,188,2.1,Aveiro 2008.pdf
Aveiro,2008,Ílhavo,158,0,9,191,200,0.0,Aveiro 2008.pdf
Aveiro,2008,Mealhada,104,2,9,122,133,1.9,Aveiro 2008.pdf
Aveiro,2008,Murtosa,38,0,3,43,46,0.0,Aveiro 2008.pdf
Aveiro,2008,Oliveira de Azeméis,245,13,20,303,336,5.3,Aveiro 2008.pdf
Aveiro,2008,Oliveira do Bairro,121,3,6,146,155,2.5,Aveiro 2008.pdf
Aveiro,2008,Ovar,222,3,16,264,283,1.4,Aveiro 2008.pdf
Aveiro,2008,Sta. Maria da Feira,480,11,28,618,657,2.3,Aveiro 2008.pdf
Aveiro,2008,S. João Madeira,63,2,10,63,75,3.2,Aveiro 2008.pdf
Aveiro,2008,Sever do Vouga,73,2,2,83,87,2.7,Aveiro 2008.pdf
Aveiro,2008,Vagos,130,4,2,146,152,3.1,Aveiro 2008.pdf
Aveiro,2008,Vale de Cambra,65,2,3,81,86,3.1,Aveiro 2008.pdf
Beja,2008,Aljustrel,41,4,5,53,62,9.8,Beja 2008.pdf
Beja,2008,Almodôvar,18,2,1,16,19,11.1,Beja 2008.pdf
Beja,2008,Alvito,7,0,0,9,9,0.0,Beja 2008.pdf
Beja,2008,Barrancos,1,0,1,0,1,0.0,Beja 2008.pdf
Beja,2008,Beja,104,4,13,144,161,3.8,Beja 2008.pdf
Beja,2008,Castro Verde,29,1,2,37,40,3.4,Beja 2008.pdf
Beja,2008,Cuba,13,0,1,14,15,0.0,Beja 2008.pdf
Beja,2008,Ferreira do Alentejo,30,1,3,40,44,3.3,Beja 2008.pdf
Beja,2008,Mértola,32,1,2,44,47,3.1,Beja 2008.pdf
Beja,2008,Moura,35,0,4,45,49,0.0,Beja 2008.pdf
Beja,2008,Odemira,94,9,13,111,133,9.6,Beja 2008.pdf
Beja,2008,Ourique,51,7,13,73,93,13.7,Beja 2008.pdf
Beja,2008,Serpa,41,4,8,48,60,9.8,Beja 2008.pdf
Beja,2008,Vidigueira,17,1,2,15,18,5.9,Beja 2008.pdf
Braga,2008,Amares,75,2,5,86,93,2.7,Braga 2008.pdf
Braga,2008,Barcelos,332,11,28,413,452,3.3,Braga 2008.pdf
Braga,2008,Braga,542,4,58,654,716,0.7,Braga 2008.pdf
Braga,2008,Cab. de Basto,42,1,0,55,56,2.4,Braga 2008.pdf
Braga,2008,Celorico de Basto,49,0,5,64,69,0.0,Braga 2008.pdf
Braga,2008,Esposende,165,5,10,261,276,3.0,Braga 2008.pdf
Braga,2008,Fafe,149,3,20,186,209,2.0,Braga 2008.pdf
Braga,2008,Guimarães,446,9,44,531,584,2.0,Braga 2008.pdf
Braga,2008,Póvoa de Lanhoso,94,5,9,115,129,5.3,Braga 2008.pdf
Braga,2008,Terras de Bouro,21,0,3,22,25,0.0,Braga 2008.pdf
Braga,2008,Vieira do Minho,41,2,7,48,57,4.9,Braga 2008.pdf
Braga,2008,V. N. de Famalicão,473,12,28,617,657,2.5,Braga 2008.pdf
Braga,2008,Vila Verde,158,2,9,207,218,1.3,Braga 2008.pdf
Braga,2008,Vizela,66,0,7,83,90,0.0,Braga 2008.pdf
Bragança,2008,Alfandega da Fé,17,0,4,17,21,0.0,Bragança 2008.pdf
Bragança,2008,Bragança,104,4,10,129,143,3.8,Bragança 2008.pdf
Bragança,2008,Car. de Ansiães,15,0,1,19,20,0.0,Bragança 2008.pdf
Bragança,2008,Freixo Esp. a Cinta,6,2,1,3,6,33.3,Bragança 2008.pdf
Bragança,2008,M. de Cavaleiros,54,2,6,77,85,3.7,Bragança 2008.pdf
Bragança,2008,Miranda do Douro,15,0,5,17,22,0.0,Bragança 2008.pdf
Bragança,2008,Mirandela,54,4,12,79,95,7.4,Bragança 2008.pdf
Bragança,2008,Mogadouro,36,1,5,48,54,2.8,Bragança 2008.pdf
Bragança,2008,Torre de Moncorvo,20,0,4,21,25,0.0,Bragança 2008.pdf
Bragança,2008,Vila Flor,24,1,4,26,31,4.2,Bragança 2008.pdf
Bragança,2008,Vimioso,18,0,2,21,23,0.0,Bragança 2008.pdf
Bragança,2008,Vinhais,19,2,3,27,32,10.5,Bragança 2008.pdf
Castelo Branco,2008,Belmonte,21,1,1,23,25,4.8,Castelo Branco 2008.pdf
Castelo Branco,2008,Castelo Branco,172,8,40,177,225,4.7,Castelo Branco 2008.pdf
Castelo Branco,2008,Covilhã,109,2,12,123,137,1.8,Castelo Branco 2008.pdf
Castelo Branco,2008,Fundão,77,2,5,97,104,2.6,Castelo Branco 2008.pdf
Castelo Branco,2008,Idanha-a-Nova,39,1,9,41,51,2.6,Castelo Branco 2008.pdf
Castelo Branco,2008,Oleiros,21,0,2,25,27,0.0,Castelo Branco 2008.pdf
Castelo Branco,2008,Penamacor,23,1,5,26,32,4.3,Castelo Branco 2008.pdf
Castelo Branco,2008,Proença-a-Nova,28,0,4,34,38,0.0,Castelo Branco 2008.pdf
Castelo Branco,2008,Sertã,55,2,8,63,73,3.6,Castelo Branco 2008.pdf
Castelo Branco,2008,Vila de Rei,14,0,0,23,23,0.0,Castelo Branco 2008.pdf
Castelo Branco,2008,V. V. de Rodão,17,0,1,24,25,0.0,Castelo Branco 2008.pdf
Coimbra,2008,Arganil,52,2,4,66,72,3.8,Coimbra 2008.pdf
Coimbra,2008,Cantanhede,213,8,10,268,286,3.8,Coimbra 2008.pdf
Coimbra,2008,Coimbra,607,12,26,764,802,2.0,Coimbra 2008.pdf
Coimbra,2008,Condeixa-a-Nova,82,5,5,106,116,6.1,Coimbra 2008.pdf
Coimbra,2008,Figueira da Foz,293,6,17,374,397,2.0,Coimbra 2008.pdf
Coimbra,2008,Gois,15,0,3,16,19,0.0,Coimbra 2008.pdf
Coimbra,2008,Lousã,64,0,3,83,86,0.0,Coimbra 2008.pdf
Coimbra,2008,Mira,45,4,2,52,58,8.9,Coimbra 2008.pdf
Coimbra,2008,Miranda do Corvo,41,1,3,49,53,2.4,Coimbra 2008.pdf
Coimbra,2008,Montemor-o-Velho,146,6,7,172,185,4.1,Coimbra 2008.pdf
Coimbra,2008,Oliveira do Hospital,82,0,4,102,106,0.0,Coimbra 2008.pdf
Coimbra,2008,Pamp. da Serra,15,2,2,20,24,13.3,Coimbra 2008.pdf
Coimbra,2008,Penacova,62,1,3,79,83,1.6,Coimbra 2008.pdf
Coimbra,2008,Penela,33,1,0,41,42,3.0,Coimbra 2008.pdf
Coimbra,2008,Soure,85,1,3,109,113,1.2,Coimbra 2008.pdf
Coimbra,2008,Tábua,69,0,1,96,97,0.0,Coimbra 2008.pdf
Coimbra,2008,Vila N. de Poiares,30,0,0,33,33,0.0,Coimbra 2008.pdf
Faro,2008,Albufeira,224,6,21,268,295,2.7,Faro 2008.pdf
Faro,2008,Alcoutim,16,0,2,23,25,0.0,Faro 2008.pdf
Faro,2008,Aljezur,42,2,10,47,59,4.8,Faro 2008.pdf
Faro,2008,Castro Marim,45,0,4,63,67,0.0,Faro 2008.pdf
Faro,2008,Faro,279,6,23,331,360,2.2,Faro 2008.pdf
Faro,2008,Lagoa,91,0,8,115,123,0.0,Faro 2008.pdf
Faro,2008,Lagos,128,0,20,134,154,0.0,Faro 2008.pdf
Faro,2008,Loulé,324,8,31,378,417,2.5,Faro 2008.pdf
Faro,2008,Monchique,30,1,3,30,34,3.3,Faro 2008.pdf
Faro,2008,Olhão,206,6,11,247,264,2.9,Faro 2008.pdf
Faro,2008,Portimão,213,1,22,249,272,0.5,Faro 2008.pdf
Faro,2008,S. Brás de Alportel,36,0,4,36,40,0.0,Faro 2008.pdf
Faro,2008,Silves,159,6,16,191,213,3.8,Faro 2008.pdf
Faro,2008,Tavira,93,7,6,99,112,7.5,Faro 2008.pdf
Faro,2008,Vila do Bispo,23,1,5,26,32,4.3,Faro 2008.pdf
Faro,2008,V. R. St. António,70,2,1,85,88,2.9,Faro 2008.pdf
Guarda,2008,Aguiar da Beira,23,2,2,31,35,8.7,Guarda 2008.pdf
Guarda,2008,Almeida,33,2,5,37,44,6.1,Guarda 2008.pdf
Guarda,2008,Celorico da Beira,44,0,4,48,52,0.0,Guarda 2008.pdf
Guarda,2008,Fig. Cast. Rodrigo,17,4,3,26,33,23.5,Guarda 2008.pdf
Guarda,2008,F. de Algodres,22,0,0,30,30,0.0,Guarda 2008.pdf
Guarda,2008,Gouveia,24,1,8,24,33,4.2,Guarda 2008.pdf
Guarda,2008,Guarda,100,1,6,127,134,1.0,Guarda 2008.pdf
Guarda,2008,Manteigas,5,0,0,5,5,0.0,Guarda 2008.pdf
Guarda,2008,Meda,18,1,7,16,24,5.6,Guarda 2008.pdf
Guarda,2008,Pinhel,44,3,9,54,66,6.8,Guarda 2008.pdf
Guarda,2008,Sabugal,37,0,6,48,54,0.0,Guarda 2008.pdf
Guarda,2008,Seia,75,1,5,88,94,1.3,Guarda 2008.pdf
Guarda,2008,Trancoso,38,1,2,63,66,2.6,Guarda 2008.pdf
Guarda,2008,V. N. Foz Côa,13,0,1,18,19,0.0,Guarda 2008.pdf
Leiria,2008,Alcobaça,284,1,18,350,369,0.4,Leiria 2008.pdf
Leiria,2008,Alvaiázere,40,1,5,48,54,2.5,Leiria 2008.pdf
Leiria,2008,Ansião,56,0,7,65,72,0.0,Leiria 2008.pdf
Leiria,2008,Batalha,72,0,1,102,103,0.0,Leiria 2008.pdf
Leiria,2008,Bombarral,67,1,8,80,89,1.5,Leiria 2008.pdf
Leiria,2008,Caldas da Rainha,225,2,17,286,305,0.9,Leiria 2008.pdf
Leiria,2008,Cast. de Pêra,5,0,2,9,11,0.0,Leiria 2008.pdf
Leiria,2008,Figueiró dos Vinhos,25,0,2,28,30,0.0,Leiria 2008.pdf
Leiria,2008,Leiria,648,20,45,783,848,3.1,Leiria 2008.pdf
Leiria,2008,Marinha Grande,163,3,11,208,222,1.8,Leiria 2008.pdf
Leiria,2008,Nazaré,67,0,5,75,80,0.0,Leiria 2008.pdf
Leiria,2008,Óbidos,76,2,4,99,105,2.6,Leiria 2008.pdf
Leiria,2008,Pedrógão Grande,18,0,4,25,29,0.0,Leiria 2008.pdf
Leiria,2008,Peniche,110,3,16,124,143,2.7,Leiria 2008.pdf
Leiria,2008,Pombal,332,18,32,415,465,5.4,Leiria 2008.pdf
Leiria,2008,Porto de MÓs,99,6,12,117,135,6.1,Leiria 2008.pdf
Lisboa,2008,Alenquer,152,6,13,202,221,3.9,Lisboa 2008.pdf
Lisboa,2008,Amadora,368,4,18,417,439,1.1,Lisboa 2008.pdf
Lisboa,2008,Arruda Vinhos,32,3,4,38,45,9.4,Lisboa 2008.pdf
Lisboa,2008,Azambuja,153,7,16,194,217,4.6,Lisboa 2008.pdf
Lisboa,2008,Cadaval,57,1,3,69,73,1.8,Lisboa 2008.pdf
Lisboa,2008,Cascais,559,5,33,663,701,0.9,Lisboa 2008.pdf
Lisboa,2008,Lisboa,2081,8,132,2408,2548,0.4,Lisboa 2008.pdf
Lisboa,2008,Loures,558,14,25,682,721,2.5,Lisboa 2008.pdf
Lisboa,2008,Lourinhã,90,1,6,122,129,1.1,Lisboa 2008.pdf
Lisboa,2008,Mafra,268,6,26,340,372,2.2,Lisboa 2008.pdf
Lisboa,2008,Odivelas,311,1,13,377,391,0.3,Lisboa 2008.pdf
Lisboa,2008,Oeiras,460,4,16,582,602,0.9,Lisboa 2008.pdf
Lisboa,2008,Sintra,932,17,44,1061,1122,1.8,Lisboa 2008.pdf
Lisboa,2008,S. Mte. Agraço,35,0,3,39,42,0.0,Lisboa 2008.pdf
Lisboa,2008,Torres Vedras,308,6,15,394,415,1.9,Lisboa 2008.pdf
Lisboa,2008,V. Franca Xira,366,10,34,441,485,2.7,Lisboa 2008.pdf
Portalegre,2008,Alter do Chão,9,0,2,8,10,0.0,Portalegre 2008.pdf
Portalegre,2008,Arronches,5,0,0,8,8,0.0,Portalegre 2008.pdf
Portalegre,2008,Avis,11,0,3,9,12,0.0,Portalegre 2008.pdf
Portalegre,2008,Campo Maior,14,1,4,12,17,7.1,Portalegre 2008.pdf
Portalegre,2008,Castelo de Vide,8,0,0,10,10,0.0,Portalegre 2008.pdf
Portalegre,2008,Crato,16,0,1,16,17,0.0,Portalegre 2008.pdf
Portalegre,2008,Elvas,88,4,19,95,118,4.5,Portalegre 2008.pdf
Portalegre,2008,Fronteira,14,0,2,21,23,0.0,Portalegre 2008.pdf
Portalegre,2008,Gavião,11,0,1,17,18,0.0,Portalegre 2008.pdf
Portalegre,2008,Marvão,12,0,0,14,14,0.0,Portalegre 2008.pdf
Portalegre,2008,Monforte,5,0,1,4,5,0.0,Portalegre 2008.pdf
Portalegre,2008,Nisa,19,2,5,17,24,10.5,Portalegre 2008.pdf
Portalegre,2008,Ponte de Sôr,58,4,6,80,90,6.9,Portalegre 2008.pdf
Portalegre,2008,Portalegre,56,1,2,67,70,1.8,Portalegre 2008.pdf
Portalegre,2008,Sousel,9,0,0,10,10,0.0,Portalegre 2008.pdf
Porto,2008,Amarante,194,5,15,250,270,2.6,Porto 2008.pdf
Porto,2008,Baião,61,2,13,79,94,3.3,Porto 2008.pdf
Porto,2008,Felgueiras,223,6,18,274,298,2.7,Porto 2008.pdf
Porto,2008,Gondomar,378,9,22,471,502,2.4,Porto 2008.pdf
Porto,2008,Lousada,117,5,8,149,162,4.3,Porto 2008.pdf
Porto,2008,Maia,317,3,17,378,398,0.9,Porto 2008.pdf
Porto,2008,Marco Canaveses,140,3,8,167,178,2.1,Porto 2008.pdf
Porto,2008,Matosinhos,434,9,27,567,603,2.1,Porto 2008.pdf
Porto,2008,Paços de Ferreira,133,4,8,155,167,3.0,Porto 2008.pdf
Porto,2008,Paredes,243,2,11,324,337,0.8,Porto 2008.pdf
Porto,2008,Penafiel,238,3,11,325,339,1.3,Porto 2008.pdf
Porto,2008,Porto,874,5,36,1084,1125,0.6,Porto 2008.pdf
Porto,2008,Póvoa de Varzim,185,2,19,236,257,1.1,Porto 2008.pdf
Porto,2008,Santo Tirso,218,2,14,283,299,0.9,Porto 2008.pdf
Porto,2008,Trofa,159,2,4,218,224,1.3,Porto 2008.pdf
Porto,2008,Valongo,276,9,9,374,392,3.3,Porto 2008.pdf
Porto,2008,Vila do Conde,278,8,22,351,381,2.9,Porto 2008.pdf
Porto,2008,Vila Nova de Gaia,728,8,29,941,978,1.1,Porto 2008.pdf
Santarém,2008,Abrantes,137,1,15,196,212,0.7,Santarém 2008.pdf
Santarém,2008,Alcanena,73,2,12,86,100,2.7,Santarém 2008.pdf
Santarém,2008,Almeirim,83,1,20,90,111,1.2,Santarém 2008.pdf
Santarém,2008,Alpiarça,43,2,5,44,51,4.7,Santarém 2008.pdf
Santarém,2008,Benavente,134,7,10,193,210,5.2,Santarém 2008.pdf
Santarém,2008,Cartaxo,95,1,6,132,139,1.1,Santarém 2008.pdf
Santarém,2008,Chamusca,49,3,8,58,69,6.1,Santarém 2008.pdf
Santarém,2008,Constância,16,1,2,20,23,6.3,Santarém 2008.pdf
Santarém,2008,Coruche,68,2,7,73,82,2.9,Santarém 2008.pdf
Santarém,2008,Entroncamento,43,0,3,51,54,0.0,Santarém 2008.pdf
Santarém,2008,Ferreira Zêzere,54,2,12,57,71,3.7,Santarém 2008.pdf
Santarém,2008,Golegã,21,0,3,22,25,0.0,Santarém 2008.pdf
Santarém,2008,Mação,18,1,2,20,23,5.6,Santarém 2008.pdf
Santarém,2008,Ourém,267,5,16,312,333,1.9,Santarém 2008.pdf
Santarém,2008,Rio Maior,110,8,8,139,155,7.3,Santarém 2008.pdf
Santarém,2008,Salvaterra Magos,74,3,9,90,102,4.1,Santarém 2008.pdf
Santarém,2008,Santarém,279,4,43,341,388,1.4,Santarém 2008.pdf
Santarém,2008,Sardoal,13,0,1,22,23,0.0,Santarém 2008.pdf
Santarém,2008,Tomar,136,5,20,160,185,3.7,Santarém 2008.pdf
Santarém,2008,Torres Novas,138,2,12,174,188,1.4,Santarém 2008.pdf
Santarém,2008,V. N. Barquinha,32,1,3,39,43,3.1,Santarém 2008.pdf
Setúbal,2008,Alcácer do Sal,98,9,14,120,143,9.2,Setúbal 2008.pdf
Setúbal,2008,Alcochete,64,4,7,87,98,6.3,Setúbal 2008.pdf
Setúbal,2008,Almada,331,9,17,435,461,2.7,Setúbal 2008.pdf
Setúbal,2008,Barreiro,186,5,12,237,254,2.7,Setúbal 2008.pdf
Setúbal,2008,Grândola,91,4,6,146,156,4.4,Setúbal 2008.pdf
Setúbal,2008,Moita,136,2,15,157,174,1.5,Setúbal 2008.pdf
Setúbal,2008,Montijo,177,8,19,209,236,4.5,Setúbal 2008.pdf
Setúbal,2008,Palmela,295,14,27,339,380,4.7,Setúbal 2008.pdf
Setúbal,2008,Santiago do Cacém,107,3,19,146,168,2.8,Setúbal 2008.pdf
Setúbal,2008,Seixal,362,5,18,438,461,1.4,Setúbal 2008.pdf
Setúbal,2008,Sesimbra,125,6,10,144,160,4.8,Setúbal 2008.pdf
Setúbal,2008,Setúbal,395,7,23,484,514,1.8,Setúbal 2008.pdf
Setúbal,2008,Sines,53,1,3,71,75,1.9,Setúbal 2008.pdf
Viana do Castelo,2008,Arcos de Valdevez,44,1,7,49,57,2.3,Viana do Castelo 2008.pdf
Viana do Castelo,2008,Caminha,50,2,1,64,67,4.0,Viana do Castelo 2008.pdf
Viana do Castelo,2008,Melgaço,25,2,1,30,33,8.0,Viana do Castelo 2008.pdf
Viana do Castelo,2008,Monção,55,0,6,68,74,0.0,Viana do Castelo 2008.pdf
Viana do Castelo,2008,Paredes de Coura,18,1,0,24,25,5.6,Viana do Castelo 2008.pdf
Viana do Castelo,2008,Ponte da Barca,29,1,6,37,44,3.4,Viana do Castelo 2008.pdf
Viana do Castelo,2008,Ponte de Lima,177,2,4,231,237,1.1,Viana do Castelo 2008.pdf
Viana do Castelo,2008,Valença,64,3,12,80,95,4.7,Viana do Castelo 2008.pdf
Viana do Castelo,2008,Viana do Castelo,264,13,13,311,337,4.9,Viana do Castelo 2008.pdf
Viana do Castelo,2008,V. Nova de Cerveira,47,3,1,52,56,6.4,Viana do Castelo 2008.pdf
Vila Real,2008,Alijó,28,1,2,42,45,3.6,Vila Real 2008.pdf
Vila Real,2008,Boticas,10,1,0,14,15,10.0,Vila Real 2008.pdf
Vila Real,2008,Chaves,119,0,8,151,159,0.0,Vila Real 2008.pdf
Vila Real,2008,Mesão Frio,15,0,0,20,20,0.0,Vila Real 2008.pdf
Vila Real,2008,Mondim de Basto,20,0,0,24,24,0.0,Vila Real 2008.pdf
Vila Real,2008,Montalegre,31,1,6,37,44,3.2,Vila Real 2008.pdf
Vila Real,2008,Murça,17,0,1,20,21,0.0,Vila Real 2008.pdf
Vila Real,2008,Peso da Régua,31,0,4,36,40,0.0,Vila Real 2008.pdf
Vila Real,2008,Ribeira de Pena,15,2,3,17,22,13.3,Vila Real 2008.pdf
Vila Real,2008,Sabrosa,16,1,0,31,32,6.3,Vila Real 2008.pdf
Vila Real,2008,Sta. Marta de Penaguião,11,0,0,11,11,0.0,Vila Real 2008.pdf
Vila Real,2008,Valpaços,39,1,5,44,50,2.6,Vila Real 2008.pdf
Vila Real,2008,V. Pouca de Aguiar,38,1,3,43,47,2.6,Vila Real 2008.pdf
Vila Real,2008,Vila Real,146,2,15,183,200,1.4,Vila Real 2008.pdf
Viseu,2008,Armamar,8,1,1,9,11,12.5,Viseu 2008.pdf
Viseu,2008,Carregal do Sal,39,0,1,50,51,0.0,Viseu 2008.pdf
Viseu,2008,Castro Daire,44,2,4,57,63,4.5,Viseu 2008.pdf
Viseu,2008,Cinfães,44,1,4,53,58,2.3,Viseu 2008.pdf
Viseu,2008,Lamego,69,1,2,123,126,1.4,Viseu 2008.pdf
Viseu,2008,Mangualde,87,1,4,118,123,1.1,Viseu 2008.pdf
Viseu,2008,Moimenta da Beira,46,1,11,60,72,2.2,Viseu 2008.pdf
Viseu,2008,Mortágua,43,1,5,46,52,2.3,Viseu 2008.pdf
Viseu,2008,Nelas,63,2,1,89,92,3.2,Viseu 2008.pdf
Viseu,2008,Oliveira de Frades,39,2,4,45,51,5.1,Viseu 2008.pdf
Viseu,2008,Penalva do Castelo,15,0,1,18,19,0.0,Viseu 2008.pdf
Viseu,2008,Penedono,13,0,2,16,18,0.0,Viseu 2008.pdf
Viseu,2008,Resende,20,0,1,29,30,0.0,Viseu 2008.pdf
Viseu,2008,Santa Comba Dão,45,1,2,53,56,2.2,Viseu 2008.pdf
Viseu,2008,S. João Pesqueira,23,0,4,25,29,0.0,Viseu 2008.pdf
Viseu,2008,S. Pedro do Sul,78,0,8,91,99,0.0,Viseu 2008.pdf
Viseu,2008,Satão,46,3,0,55,58,6.5,Viseu 2008.pdf
Viseu,2008,Sernancelhe,27,1,7,47,55,3.7,Viseu 2008.pdf
Viseu,2008,Tabuaço,8,0,0,8,8,0.0,Viseu 2008.pdf
Viseu,2008,Tarouca,23,0,1,30,31,0.0,Viseu 2008.pdf
Viseu,2008,Tondela,127,3,14,150,167,2.4,Viseu 2008.pdf
Viseu,2008,Vila Nova de Paiva,23,1,0,28,29,4.3,Viseu 2008.pdf
Viseu,2008,Viseu,439,5,40,541,586,1.1,Viseu 2008.pdf
Viseu,2008,Vouzela,67,3,5,81,89,4.5,Viseu 2008.pdf
Évora,2008,Alandroal,18,1,4,16,21,5.6,Évora 2008.pdf
Évora,2008,Arraiolos,34,4,3,35,42,11.8,Évora 2008.pdf
Évora,2008,Borba,19,1,1,33,35,5.3,Évora 2008.pdf
Évora,2008,Estremoz,63,3,3,79,85,4.8,Évora 2008.pdf
